,index,link,title,recall_info,date,issue,audience,company,distribution,recall_class
0,4116,https://recalls-rappels.canada.ca/en/alert-recall/certain-safie-s-brand-sweet-pickled-beets-may-contain-pieces-glass,Certain Safie's brand Sweet Pickled Beets may contain pieces of glass,"Certain Safie's brand Sweet Pickled Beets may contain pieces of glass      
       
  
                        
             
Starting date:
December 30, 2011
Type of communication:
Recall
Alert sub-type:
Notification…",2011-12-30,Extraneous Material,Retail,Costco Wholesale Canada Inc.,"Alberta, British Columbia, Manitoba, Saskatchewan",Class 2
1,4117,https://recalls-rappels.canada.ca/en/alert-recall/certain-talley-s-brand-new-zealand-mussels-half-shell-may-contain-e-coli,Certain Talley's brand New Zealand Mussels In The Half Shell may contain E. coli,"Certain Talley's brand New Zealand Mussels In The Half Shell may contain E. coli      
       
  
                        
             
Starting date:
December 29, 2011
Type of communication:
Recall
Alert sub-type:…",2011-12-29,Microbiological - Other,Retail,Zian Trading Company Ltd.,Ontario,Class 3
2,4119,https://recalls-rappels.canada.ca/en/alert-recall/certain-fresh-serrano-peppers-may-contain-salmonella-bacteria,Certain fresh serrano peppers may contain Salmonella bacteria,"Certain fresh serrano peppers may contain Salmonella bacteria      
       
  
                        
             
Starting date:
December 21, 2011
Type of communication:
Recall
Alert sub-type:
Health Hazard Alert
Subcategory:…",2011-12-21,Microbiological - Salmonella,Retail,Canada Safeway Ltd.,"Alberta, British Columbia, Manitoba, Northwest Territories, Ontario, Saskatchewan, Yukon",Class 2
3,4120,https://recalls-rappels.canada.ca/en/alert-recall/undeclared-sulphites-various-md-brand-products,Undeclared sulphites in various MD brand products,"Undeclared sulphites in various MD brand products      
       
  
                        
             
Starting date:
December 20, 2011
Type of communication:
Recall
Alert sub-type:
Allergy Alert
Subcategory:
Allergen -…",2011-12-20,Allergen - Sulphites,Retail,Uruthira Brothers Ltd.,"Alberta, British Columbia, Ontario, Quebec",Class 3
4,4121,https://recalls-rappels.canada.ca/en/alert-recall/certain-fresh-jalapeno-peppers-may-contain-salmonella-bacteria,Certain fresh jalapeno peppers may contain Salmonella bacteria,"Certain fresh jalapeno peppers may contain Salmonella bacteria      
       
  
                        
             
Starting date:
December 20, 2011
Type of communication:
Recall
Alert sub-type:
Health Hazard Alert
Subcategory:…",2011-12-20,Microbiological - Salmonella,Retail,"Canada Safeway Ltd., Loblaw Companies Limited","Alberta, British Columbia, Manitoba, Northwest Territories, Ontario, Saskatchewan, Yukon",Class 2
5,4122,https://recalls-rappels.canada.ca/en/alert-recall/certain-minos-brand-honey-being-recalled-due-chemical-residues,Certain Minos brand Honey is being recalled due to chemical residues,"Certain Minos brand Honey is being recalled due to chemical residues      
       
  
                        
             
Starting date:
December 20, 2011
Type of communication:
Recall
Alert sub-type:
Notification
Subcategory:…",2011-12-20,Chemical,Retail and Hotel/Restaurant/Institutional,Groupe Alimentaire Miron,"Alberta, Ontario, Quebec",Class 2
6,4123,https://recalls-rappels.canada.ca/en/alert-recall/certain-levesque-tradition-brand-natural-smoked-ham-being-recalled-due-labelling-issue,Certain Levesque Tradition brand Natural Smoked Ham is being recalled due to a labelling issue,"Certain Levesque Tradition brand Natural Smoked Ham is being recalled due to a labelling issue      
       
  
                        
             
Starting date:
December 19, 2011
Type of communication:
Advisory
Alert sub-type…",2011-12-19,Labelling,Retail and Hotel/Restaurant/Institutional,Salaison Levesque Inc.,"Alberta, Manitoba, Nunavut, Ontario, Quebec, Saskatchewan",Class 3
7,4124,https://recalls-rappels.canada.ca/en/alert-recall/undeclared-wheat-thai-top-choice-brand-instant-beef-flavor-paste,Undeclared wheat in Thai Top Choice brand Instant Beef Flavor Paste,"Undeclared wheat in Thai Top Choice brand Instant Beef Flavor Paste      
       
  
                        
             
Starting date:
December 19, 2011
Type of communication:
Recall
Alert sub-type:
Allergy Alert
Subcategory:…",2011-12-19,Allergen - Wheat,Retail,Choy Foong International Trading Co. Ltd.,Ontario,Class 3
8,4125,https://recalls-rappels.canada.ca/en/alert-recall/undeclared-sesame-slow-taste-brand-tofu,Undeclared sesame in Slow Taste brand tofu,"Undeclared sesame in Slow Taste brand tofu      
       
  
                        
             
Starting date:
December 19, 2011
Type of communication:
Recall
Alert sub-type:
Allergy Alert
Subcategory:
Allergen - Sesame Seeds…",2011-12-19,Allergen - Sesame Seeds,Retail,Choy Foong International Trading Co. Ltd.,Ontario,Class 3
9,4126,https://recalls-rappels.canada.ca/en/alert-recall/certain-maple-crisp-orchards-brand-apple-cider-may-contain-toxin-patulin,Certain Maple Crisp Orchards brand apple cider may contain the toxin Patulin,"Certain Maple Crisp Orchards brand apple cider may contain the toxin Patulin      
       
  
                        
             
Starting date:
December 19, 2011
Type of communication:
Recall
Alert sub-type:
Notification…",2011-12-19,Chemical,Retail,Maple Crisp Orchards Maple Products,Ontario,Class 3
