,index,link,title,recall_info,date,issue,audience,company,distribution,recall_class
0,1007,https://recalls-rappels.canada.ca/en/alert-recall/cape-breton-coal-candy-recalled-due-undeclared-walnuts,Cape Breton Coal candy recalled due to undeclared walnuts,"Cape Breton Coal candy recalled due to undeclared walnuts      
       
  
                        
             
Starting date:
December 31, 2018
Type of communication:
Recall
Alert sub-type:
Food Recall Warning (Allergen)…",2018-12-31,Allergen - Tree Nut,Consumer,Cape Breton Fudge Co.,Nova Scotia,Class 1
1,1008,https://recalls-rappels.canada.ca/en/alert-recall/portofino-european-bakery-brand-gluten-free-almond-stollen-recalled-due-undeclared,Portofino European Bakery brand Gluten Free Almond Stollen recalled due to undeclared wheat,"Portofino European Bakery brand Gluten Free Almond Stollen recalled due to undeclared wheat      
       
  
                        
             
Starting date:
December 27, 2018
Type of communication:
Recall
Alert sub-type:
Food…",2018-12-27,"Allergen - Gluten, Allergen - Wheat",Retail,Portofino Bakery Ltd.,British Columbia,Class 3
2,1009,https://recalls-rappels.canada.ca/en/alert-recall/eat-smart-brand-salad-shake-ups-single-serve-recalled-due-listeria-monocytogenes-0,Eat Smart brand Salad Shake Ups (single serve) recalled due to Listeria monocytogenes,"Eat Smart brand Salad Shake Ups (single serve) recalled due to Listeria monocytogenes      
       
  
                        
             
Starting date:
December 24, 2018
Type of communication:
Recall
Alert sub-type:
Updated…",2018-12-24,Microbiological - Listeria,Consumer,"Buy Low Foods Ltd., Loblaw Companies Limited, Produce Terminal, Sobeys Inc.",National,Class 1
6,1010,https://recalls-rappels.canada.ca/en/alert-recall/tlosega-brand-chocolat-noir-extra-fin-72-recalled-due-undeclared-milk,"Tlosega brand ""Chocolat Noir Extra Fin 72%"" recalled due to undeclared milk","Tlosega brand ""Chocolat Noir Extra Fin 72%"" recalled due to undeclared milk      
       
  
                        
             
Starting date:
December 21, 2018
Type of communication:
Recall
Alert sub-type:
Food…",2018-12-21,Allergen - Milk,Retail,Slovenian Chocolate,Ontario,Class 2
7,1011,https://recalls-rappels.canada.ca/en/alert-recall/northeast-brand-beancurd-sheet-and-dried-beancurd-strips-recalled-due-yeast,Northeast brand Beancurd Sheet and Dried Beancurd Strips recalled due to yeast,"Northeast brand Beancurd Sheet and Dried Beancurd Strips recalled due to yeast      
       
  
                        
             
Starting date:
December 21, 2018
Type of communication:
Recall
Alert sub-type:
Notification…",2018-12-21,Microbiological - Non harmful (Quality/Spoilage),Retail,Noreast Foods Ltd.,"Ontario, Quebec",Class 3
8,1012,https://recalls-rappels.canada.ca/en/alert-recall/st-hubert-brand-tourtiere-chicken-pot-pie-and-chicken-and-broccoli-gratin-recalled-due,"St-Hubert brand Tourtière, Chicken Pot Pie, and Chicken and Broccoli Gratin recalled due to pieces of aluminum","St-Hubert brand Tourtière, Chicken Pot Pie, and Chicken and Broccoli Gratin recalled due to pieces of aluminum      
       
  
                        
             
Starting date:
December 21, 2018
Type of communication:
Recall…",2018-12-21,Extraneous Material,Retail,"Maître Saladier, Inc.","Alberta, Ontario, Quebec",Class 3
9,1013,https://recalls-rappels.canada.ca/en/alert-recall/certain-cauliflower-florettes-and-stir-fryveg-medley-produced-leonard-fruit-vegetable,Certain cauliflower florettes and stir fry/veg medley produced by Leonard Fruit & Vegetable Wholesale Inc. recalled due to E. coli O157:H7,"Certain cauliflower florettes and stir fry/veg medley produced by Leonard Fruit & Vegetable Wholesale Inc. recalled due to E. coli O157:H7      
       
  
                        
             
Starting date:
December 21, 2018…",2018-12-21,Microbiological - E. coli O157:H7,Hotel/Restaurant/Institutional,Leonard Fruit & Vegetable Wholesale Inc.,Ontario,Class 1
10,1014,https://recalls-rappels.canada.ca/en/alert-recall/bick-s-brand-sweet-green-relish-recalled-due-pieces-glass,Bick's brand Sweet Green Relish recalled due to pieces of glass,"Bick's brand Sweet Green Relish recalled due to pieces of glass      
       
  
                        
             
Starting date:
December 20, 2018
Type of communication:
Recall
Alert sub-type:
Notification
Subcategory:…",2018-12-20,Extraneous Material,Retail,Smucker Foods of  Canada Corp.,"Alberta, British Columbia, Ontario, Quebec",Class 2
11,1015,https://recalls-rappels.canada.ca/en/alert-recall/certain-coco-polo-brand-dark-cocoa-bars-recalled-due-undeclared-milk,Certain Coco Polo brand Dark Cocoa Bars recalled due to undeclared milk,"Certain Coco Polo brand Dark Cocoa Bars recalled due to undeclared milk      
       
  
                        
             
Starting date:
December 20, 2018
Type of communication:
Recall
Alert sub-type:
Updated Food Recall…",2018-12-20,Allergen - Milk,Consumer,Bulk Barn Foods Limited,National,Class 1
12,1016,https://recalls-rappels.canada.ca/en/alert-recall/adams-brothers-brand-cauliflower-recalled-due-e-coli-o157h7,Adams Brothers brand Cauliflower recalled due to E. coli O157:H7,"Adams Brothers brand Cauliflower recalled due to E. coli O157:H7      
       
  
                        
             
Starting date:
December 15, 2018
Type of communication:
Recall
Alert sub-type:
Notification
Subcategory:…",2018-12-15,Microbiological - E. coli O157:H7,Retail,JB Laverdure Inc.,"Ontario, Quebec",Class 1
