,index,link,title,recall_info,date,issue,audience,company,distribution,recall_class
0,3120,https://recalls-rappels.canada.ca/en/alert-recall/certain-ground-beef-products-may-contain-pieces-plastic,Certain ground beef products may contain pieces of plastic,"Certain ground beef products may contain pieces of plastic      
       
  
                        
             
Starting date:
December 30, 2013
Type of communication:
Recall
Alert sub-type:
Notification
Subcategory:
Extraneous…",2013-12-30,Extraneous Material,Retail,Vantage Foods (ON) Inc.,Ontario,Class 3
1,3121,https://recalls-rappels.canada.ca/en/alert-recall/non-permitted-food-colours-titsi-brand-fruit-jelly,Non-permitted food colours in Titsi brand Fruit Jelly,"Non-permitted food colours in Titsi brand Fruit Jelly      
       
  
                        
             
Starting date:
December 27, 2013
Type of communication:
Recall
Alert sub-type:
Notification
Subcategory:
Chemical
Hazard…",2013-12-27,Chemical,Retail,Dong Phuong Oriental Market Ltd.,"Alberta, Manitoba",Class 3
2,3122,https://recalls-rappels.canada.ca/en/alert-recall/undeclared-milk-motha-brand-wattalappan-pudding-mix,Undeclared milk in Motha brand Wattalappan Pudding Mix,"Undeclared milk in Motha brand Wattalappan Pudding Mix      
       
  
                        
             
Starting date:
December 24, 2013
Type of communication:
Recall
Alert sub-type:
Allergy Alert
Subcategory:
Allergen -…",2013-12-24,Allergen - Milk,Retail,MTI Groups Inc.,"Ontario, Quebec",Class 2
3,3123,https://recalls-rappels.canada.ca/en/alert-recall/super-candy-buttons-recalled-due-undeclared-egg,Super Candy Buttons recalled due to undeclared egg,"Super Candy Buttons recalled due to undeclared egg      
       
  
                        
             
Starting date:
December 20, 2013
Type of communication:
Recall
Alert sub-type:
Food Recall Warning (Allergen)
Subcategory:…",2013-12-20,Allergen - Egg,Retail,Regal Confections Inc.,National,Class 1
4,3124,https://recalls-rappels.canada.ca/en/alert-recall/certain-no-name-brand-tomato-condensed-soup-recalled,Certain no name brand Tomato Condensed Soup is recalled,"Certain no name brand Tomato Condensed Soup is recalled      
       
  
                        
             
Starting date:
December 20, 2013
Type of communication:
Recall
Alert sub-type:
Notification
Subcategory:
Nutrition…",2013-12-20,Nutrition,Retail,Loblaw Companies Limited,National,Class 3
5,3125,https://recalls-rappels.canada.ca/en/alert-recall/certain-similac-brand-human-milk-fortifier-recalled-0,Certain Similac brand Human Milk Fortifier is recalled,"Certain Similac brand Human Milk Fortifier is recalled      
       
  
                        
             
Starting date:
December 20, 2013
Type of communication:
Recall
Alert sub-type:
Notification
Subcategory:
Other
Hazard…",2013-12-20,Other,Hotel/Restaurant/Institutional,Abbott Laboratories,National,Class 3
9,3126,https://recalls-rappels.canada.ca/en/alert-recall/candy-sweet-spots-recalled-due-undeclared-egg,Candy Sweet Spots recalled due to undeclared egg,"Candy Sweet Spots recalled due to undeclared egg      
       
  
                        
             
Starting date:
December 19, 2013
Type of communication:
Recall
Alert sub-type:
Food Recall Warning (Allergen)
Subcategory:…",2013-12-19,Allergen - Egg,Retail,Incredible Novelties Inc.,National,Class 1
10,3128,https://recalls-rappels.canada.ca/en/alert-recall/undeclared-cashews-sicilian-ice-cream-brand-pistachio-nut-ice-cream,Undeclared cashews in Sicilian Ice Cream brand Pistachio Nut Ice Cream,"Undeclared cashews in Sicilian Ice Cream brand Pistachio Nut Ice Cream      
       
  
                        
             
Starting date:
December 19, 2013
Type of communication:
Recall
Alert sub-type:
Allergy Alert
Subcategory…",2013-12-19,Allergen - Tree Nut,"Retail, Hotel/Restaurant/Institutional",Sicilian Ice Cream Co. Ltd.,Ontario,Class 2
11,3129,https://recalls-rappels.canada.ca/en/alert-recall/aurora-brand-corn-gnocchi-and-rice-gnocchi-recalled-due-undeclared-gluten,Aurora brand Corn Gnocchi and Rice Gnocchi recalled due to undeclared gluten,"Aurora brand Corn Gnocchi and Rice Gnocchi recalled due to undeclared gluten      
       
  
                        
             
Starting date:
December 18, 2013
Type of communication:
Recall
Alert sub-type:
Updated Food Recall…",2013-12-18,Allergen - Gluten,Retail,Aurora Importing & Distributing Ltd.,"British Columbia, Ontario, Quebec, Alberta, Manitoba, Possibly National",Class 2
12,3130,https://recalls-rappels.canada.ca/en/alert-recall/certain-healthy-times-brand-oatmeal-cereal-products-are-recalled-rancidity,Certain Healthy Times brand Oatmeal cereal products are recalled for rancidity,"Certain Healthy Times brand Oatmeal cereal products are recalled for rancidity      
       
  
                        
             
Starting date:
December 16, 2013
Type of communication:
Recall
Alert sub-type:
Notification…",2013-12-16,Other,Retail,"Horizon Distributors Ltd., Indigo Natural Foods Inc., Loblaw Companies Limited, Nationwide Natural Foods, PSC Natural Foods Ltd., Puresource Inc., Satau Inc., UNFI Canada Central Region, UNFI Canada Grocery West",National,Class 3
13,3131,https://recalls-rappels.canada.ca/en/alert-recall/certain-organic-girl-brand-green-onions-may-contain-e-coli-bacteria,Certain Organic Girl brand green onions may contain E. coli bacteria,"Certain Organic Girl brand green onions may contain E. coli bacteria      
       
  
                        
             
Starting date:
December 12, 2013
Type of communication:
Recall
Alert sub-type:
Notification
Subcategory:…",2013-12-12,Microbiological - Other,Retail,Fresh Advancements Inc.,Ontario,Class 2
14,3132,https://recalls-rappels.canada.ca/en/alert-recall/extraneous-material-carnaby-sweet-brand-candies,Extraneous material in Carnaby Sweet brand candies,"Extraneous material in Carnaby Sweet brand candies      
       
  
                        
             
Starting date:
December 11, 2013
Type of communication:
Recall
Alert sub-type:
Notification
Subcategory:
Extraneous Material…",2013-12-11,Extraneous Material,Retail,Dorsey Marketing Inc.,National,Class 2
15,3134,https://recalls-rappels.canada.ca/en/alert-recall/organic-traditions-brand-dark-chocolate-hazelnuts-and-dark-chocolate-almonds-0,Organic Traditions brand Dark Chocolate Hazelnuts and Dark Chocolate Almonds recalled due to undeclared milk,"Organic Traditions brand Dark Chocolate Hazelnuts and Dark Chocolate Almonds recalled due to undeclared milk      
       
  
                        
             
Starting date:
December 10, 2013
Type of communication:
Recall…",2013-12-10,Allergen - Milk,Retail,Advantage Health Matters Inc.,National,Class 1
16,3135,https://recalls-rappels.canada.ca/en/alert-recall/aurora-brand-corn-gnocchi-recalled-due-undeclared-gluten,Aurora Brand Corn Gnocchi Recalled Due to Undeclared Gluten,"Aurora Brand Corn Gnocchi Recalled Due to Undeclared Gluten      
       
  
                        
             
Starting date:
December 9, 2013
Type of communication:
Recall
Alert sub-type:
Food Recall Warning (Allergen)…",2013-12-09,Allergen - Gluten,Retail,Aurora Importing & Distributing Ltd.,"Alberta, British Columbia, Manitoba, Ontario, Possibly National, Quebec",Class 2
17,3136,https://recalls-rappels.canada.ca/en/alert-recall/undeclared-mustard-certain-comeau-brand-salmon-products,Undeclared mustard in certain Comeau brand salmon products,"Undeclared mustard in certain Comeau brand salmon products      
       
  
                        
             
Starting date:
December 9, 2013
Type of communication:
Recall
Alert sub-type:
Allergy Alert
Subcategory:
Allergen -…",2013-12-09,Allergen - Mustard,Retail,Comeau's Sea Foods Limited,"Prince Edward Island, New Brunswick, Nova Scotia, Quebec, Newfoundland and Labrador",Class 3
18,3137,https://recalls-rappels.canada.ca/en/alert-recall/organic-traditions-brand-dark-chocolate-hazelnuts-and-dark-chocolate-almonds-recalled,Organic Traditions Brand Dark Chocolate Hazelnuts and Dark Chocolate Almonds Recalled Due to Undeclared Milk,"Organic Traditions Brand Dark Chocolate Hazelnuts and Dark Chocolate Almonds Recalled Due to Undeclared Milk      
       
  
                        
             
Starting date:
December 6, 2013
Type of communication:
Recall…",2013-12-06,Allergen - Milk,Retail,Advantage Health Matters Inc.,Possibly National,Class 1
19,3138,https://recalls-rappels.canada.ca/en/alert-recall/glass-dublin-s-pub-brand-cider-products,Glass in Dublin's Pub brand Cider products,"Glass in Dublin's Pub brand Cider products      
       
  
                        
             
Starting date:
December 6, 2013
Type of communication:
Recall
Alert sub-type:
Notification
Subcategory:
Extraneous Material…",2013-12-06,Extraneous Material,Retail,Vins Arista,"New Brunswick, Quebec",Class 2
20,3139,https://recalls-rappels.canada.ca/en/alert-recall/edelweiss-brand-fine-dark-chocolate-recalled-due-undeclared-milk,Edelweiss Brand Fine Dark Chocolate Recalled Due to Undeclared Milk,"Edelweiss Brand Fine Dark Chocolate Recalled Due to Undeclared Milk      
       
  
                        
             
Starting date:
December 6, 2013
Type of communication:
Recall
Alert sub-type:
Food Recall Warning (Allergen…",2013-12-06,Allergen - Milk,Retail,Eurotrade Import-Export,Ontario,Class 1
21,3140,https://recalls-rappels.canada.ca/en/alert-recall/undeclared-mustard-prepared-normandin-brand-marinated-chicken-souvlaki-continental,Undeclared mustard in Prepared for Normandin brand Marinated Chicken Souvlaki (Continental Sauce),"Undeclared mustard in Prepared for Normandin brand Marinated Chicken Souvlaki (Continental Sauce)      
       
  
                        
             
Starting date:
December 6, 2013
Type of communication:
Recall
Alert sub-type…",2013-12-06,Allergen - Mustard,Hotel/Restaurant/Institutional,Viande Dunham Inc.,Quebec,Class 3
