,index,link,title,recall_info,date,issue,audience,company,distribution,recall_class
0,412,https://recalls-rappels.canada.ca/en/alert-recall/merrylady-brand-blue-non-dairy-whip-topping-recalled-due-undeclared-milk,Merrylady brand Blue Non-Dairy Whip Topping recalled due to undeclared milk,"Merrylady brand Blue Non-Dairy Whip Topping recalled due to undeclared milk      
       
  
                        
             
Starting date:
December 31, 2020
Type of communication:
Recall
Alert sub-type:
Food Recall Warning…",2020-12-31,Allergen - Milk,Consumer,Dolson Marketing Inc.,"Ontario, Possibly National",Class 1
1,413,https://recalls-rappels.canada.ca/en/alert-recall/live-brand-turmeric-wrap-recalled-due-undeclared-gluten,Live. brand Turmeric Wrap recalled due to undeclared gluten,"Live. brand Turmeric Wrap recalled due to undeclared gluten      
       
  
                        
             
Starting date:
December 30, 2020
Type of communication:
Recall
Alert sub-type:
Food Recall Warning (Allergen)…",2020-12-30,Allergen - Gluten,Retail,Live Organic Food Products,"Alberta, British Columbia, Ontario, Quebec, Saskatchewan",Class 2
2,414,https://recalls-rappels.canada.ca/en/alert-recall/people-s-brand-meadilicious-taste-pina-colada-flavoured-fortified-wine-recalled-due,The People's brand Meadilicious taste of Pina Colada flavoured fortified wine recalled due to undeclared milk,"The People's brand Meadilicious taste of Pina Colada flavoured fortified wine recalled due to undeclared milk      
       
  
                        
             
Starting date:
December 24, 2020
Type of communication:…",2020-12-24,Allergen - Milk,Retail,Minhas Sask Ventures Inc.,Saskatchewan,Class 1
3,415,https://recalls-rappels.canada.ca/en/alert-recall/searay-foods-inc-brand-grouper-recalled-due-leucomalachite-green,Searay Foods Inc. brand Grouper recalled due to leucomalachite green,"Searay Foods Inc. brand Grouper recalled due to leucomalachite green      
       
  
                        
             
Starting date:
December 23, 2020
Type of communication:
Recall
Alert sub-type:
Notification
Subcategory:…",2020-12-23,Chemical,Retail,Searay Foods Inc.,"Alberta, British Columbia, Manitoba, Ontario, Saskatchewan",Class 2
4,416,https://recalls-rappels.canada.ca/en/alert-recall/certain-assala-compliments-deli-shop-and-levitts-brands-deli-meat-products-recalled,"Certain Assala, Compliments, The Deli-Shop, and Levitts brands deli meat products recalled due to Listeria monocytogenes","Certain Assala, Compliments, The Deli-Shop, and Levitts brands deli meat products recalled due to Listeria monocytogenes      
       
  
                        
             
Starting date:
December 22, 2020
Type of communication…",2020-12-22,Microbiological - Listeria,Consumer,Levitts Foods (Canada) Inc.,"Alberta, Nova Scotia, Ontario, Possibly National, Quebec",Class 1
5,417,https://recalls-rappels.canada.ca/en/alert-recall/madame-labriski-brand-bomba-rosa-log-recalled-due-undeclared-soy-eggs-milk-sesame-nuts,"Madame Labriski brand The Bomba Rosa Log recalled due to undeclared soy, eggs, milk, sesame, nuts and peanuts","Madame Labriski brand The Bomba Rosa Log recalled due to undeclared soy, eggs, milk, sesame, nuts and peanuts      
       
  
                        
             
Starting date:
December 22, 2020
Type of communication:
Recall…",2020-12-22,"Allergen - Egg, Allergen - Milk, Allergen - Peanut, Allergen - Sesame Seeds, Allergen - Soy, Allergen - Tree Nut",Consumer,Madame Labriski,"New Brunswick, Quebec",Class 1
6,418,https://recalls-rappels.canada.ca/en/alert-recall/kokkadens-cakes-bakes-brand-cakes-recalled-due-undeclared-egg,Kokkadens Cakes & Bakes brand Cakes recalled due to undeclared egg,"Kokkadens Cakes & Bakes brand Cakes recalled due to undeclared egg      
       
  
                        
             
Starting date:
December 18, 2020
Type of communication:
Recall
Alert sub-type:
Food Recall Warning (…",2020-12-18,Allergen - Egg,Retail,2007064 Ontario Inc. (O/A Kokkadens),Ontario,Class 3
7,419,https://recalls-rappels.canada.ca/en/alert-recall/president-s-choice-brand-spread-and-dip-products-recalled-due-spoilage,President's Choice brand spread and dip products recalled due to spoilage,"President's Choice brand spread and dip products recalled due to spoilage      
       
  
                        
             
Starting date:
December 17, 2020
Type of communication:
Recall
Alert sub-type:
Notification…",2020-12-17,Microbiological - Non harmful (Quality/Spoilage),Retail,Celtrade Canada Inc.,"Alberta, Nova Scotia, Ontario, Quebec",Class 3
11,421,https://recalls-rappels.canada.ca/en/alert-recall/certain-compliments-brand-and-levitts-brand-deli-meat-products-recalled-due-listeria,Certain Compliments brand and Levitts brand deli meat products recalled due to Listeria monocytogenes,"Certain Compliments brand and Levitts brand deli meat products recalled due to Listeria monocytogenes      
       
  
                        
             
Starting date:
December 15, 2020
Type of communication:
Recall
Alert sub-…",2020-12-15,Microbiological - Listeria,Consumer,Levitts Foods (Canada) Inc.,"Alberta, Nova Scotia, Ontario, Possibly National, Quebec",Class 1
12,422,https://recalls-rappels.canada.ca/en/alert-recall/shivani-brand-bhatura-atta-and-missi-atta-recalled-due-undeclared-wheat,Shivani brand Bhatura Atta and Missi Atta recalled due to undeclared wheat,"Shivani brand Bhatura Atta and Missi Atta recalled due to undeclared wheat      
       
  
                        
             
Starting date:
December 14, 2020
Type of communication:
Recall
Alert sub-type:
Food Recall Warning (…",2020-12-14,Allergen - Wheat,Retail,Shivani Sales Inc.,"Alberta, Manitoba, Saskatchewan",Class 2
13,423,https://recalls-rappels.canada.ca/en/alert-recall/rougie-sarlat-brand-terrine-duck-foie-gras-recalled-due-undeclared-gluten-and-wheat,Rougié Sarlat brand Terrine of Duck Foie Gras recalled due to undeclared gluten and wheat,"Rougié Sarlat brand Terrine of Duck Foie Gras recalled due to undeclared gluten and wheat      
       
  
                        
             
Starting date:
December 14, 2020
Type of communication:
Recall
Alert sub-type:
Food…",2020-12-14,"Allergen - Gluten, Allergen - Wheat","Retail, Hotel/Restaurant/Institutional",Aurpal Inc.,"Alberta, Quebec",Class 1
14,424,https://recalls-rappels.canada.ca/en/alert-recall/eggs-hilly-acres-farm-recalled-due-salmonella-1,Eggs from Hilly Acres Farm recalled due to Salmonella,"Eggs from Hilly Acres Farm recalled due to Salmonella      
       
  
                        
             
Starting date:
December 12, 2020
Type of communication:
Recall
Alert sub-type:
Food Recall Warning
Subcategory:…",2020-12-12,Microbiological - Salmonella,Retail,Hilly Acres Farm,Newfoundland and Labrador,Class 2
