,index,link,title,recall_info,date,issue,audience,company,distribution,recall_class
0,1311,https://recalls-rappels.canada.ca/en/alert-recall/various-brands-sandwich-products-recalled-due-listeria-monocytogenes,Various brands of sandwich products recalled due to Listeria monocytogenes,"Various brands of sandwich products recalled due to Listeria monocytogenes      
       
  
                        
             
Starting date:
December 28, 2017
Type of communication:
Recall
Alert sub-type:
Updated Food Recall…",2017-12-28,Microbiological - Listeria,Retail,HQ Fine Foods,National,Class 1
4,1312,https://recalls-rappels.canada.ca/en/alert-recall/selection-brand-popping-corn-recalled-due-presence-insects,Selection brand Popping Corn recalled due to presence of insects,"Selection brand Popping Corn recalled due to presence of insects      
       
  
                        
             
Starting date:
December 27, 2017
Type of communication:
Recall
Alert sub-type:
Notification
Subcategory:…",2017-12-27,Extraneous Material,Retail,Metro Brands,National,Class 3
5,1313,https://recalls-rappels.canada.ca/en/alert-recall/farm-boy-brand-milk-chocolate-covered-double-roasted-almonds-recalled-due-undeclared,Farm Boy brand Milk Chocolate Covered Double Roasted Almonds recalled due to undeclared peanuts,"Farm Boy brand Milk Chocolate Covered Double Roasted Almonds recalled due to undeclared peanuts      
       
  
                        
             
Starting date:
December 22, 2017
Type of communication:
Recall
Alert sub-type:…",2017-12-22,Allergen - Peanut,Retail,Farm Boy,Ontario,Class 2
6,1314,https://recalls-rappels.canada.ca/en/alert-recall/polly-ann-brand-frozen-dessert-bars-recalled-due-undeclared-milk-1,Polly Ann brand frozen dessert bars recalled due to undeclared milk,"Polly Ann brand frozen dessert bars recalled due to undeclared milk      
       
  
                        
             
Starting date:
December 21, 2017
Type of communication:
Recall
Alert sub-type:
Updated Food Recall Warning…",2017-12-21,Allergen - Milk,Retail,Bayan Grocers Inc.,"British Columbia, Manitoba, Ontario, Possibly National, Quebec",Class 1
15,1317,https://recalls-rappels.canada.ca/en/alert-recall/ottogi-brand-beef-bone-and-vegetable-soup-recalled-due-undeclared-milk-0,Ottogi brand Beef Bone and Vegetable Soup recalled due to undeclared milk,"Ottogi brand Beef Bone and Vegetable Soup recalled due to undeclared milk      
       
  
                        
             
Starting date:
December 19, 2017
Type of communication:
Recall
Alert sub-type:
Food Recall Warning (…",2017-12-19,Allergen - Milk,Retail,Seoul Trading Corporation,"Alberta, British Columbia, Manitoba, Saskatchewan",Class 2
16,1318,https://recalls-rappels.canada.ca/en/alert-recall/president-s-choice-brand-breaded-shrimp-products-recalled-due-undeclared-egg,President's Choice brand breaded shrimp products recalled due to undeclared egg,"President's Choice brand breaded shrimp products recalled due to undeclared egg      
       
  
                        
             
Starting date:
December 19, 2017
Type of communication:
Recall
Alert sub-type:
Food Recall…",2017-12-19,Allergen - Egg,Retail,Loblaw Companies Limited,National,Class 1
17,1320,https://recalls-rappels.canada.ca/en/alert-recall/imperial-caviar-seafood-and-vip-caviar-club-brand-trout-roe-recalled-due-potential,Imperial Caviar & Seafood and VIP Caviar Club brand Trout Roe recalled due to potential presence of dangerous bacteria,"Imperial Caviar & Seafood and VIP Caviar Club brand Trout Roe recalled due to potential presence of dangerous bacteria      
       
  
                        
             
Starting date:
December 15, 2017
Type of…",2017-12-15,Microbiological - Clostridium botulinum,Retail,Imperial Caviar & Seafood,"Ontario, Quebec",Class 1
21,1321,https://recalls-rappels.canada.ca/en/alert-recall/wang-zhong-wan-brand-fishball-meat-recalled-due-undeclared-egg,Wang Zhong Wan brand Fishball with Meat recalled due to undeclared egg,"Wang Zhong Wan brand Fishball with Meat recalled due to undeclared egg      
       
  
                        
             
Starting date:
December 11, 2017
Type of communication:
Recall
Alert sub-type:
Food Recall Warning (…",2017-12-11,Allergen - Egg,Retail,Wang Zhong Wan,Ontario,Class 3
22,1322,https://recalls-rappels.canada.ca/en/alert-recall/vinh-thuan-brand-hagou-flour-recalled-due-undeclared-gluten,Vinh Thuan brand Hagou Flour recalled due to undeclared gluten,"Vinh Thuan brand Hagou Flour recalled due to undeclared gluten      
       
  
                        
             
Starting date:
December 11, 2017
Type of communication:
Recall
Alert sub-type:
Food Recall Warning (Allergen)…",2017-12-11,Allergen - Gluten,Retail,Thai United Food Trading Ltd.,"Alberta, British Columbia",Class 3
23,1323,https://recalls-rappels.canada.ca/en/alert-recall/radhuni-brand-vermicelli-recalled-due-undeclared-wheat,Radhuni brand Vermicelli recalled due to undeclared wheat,"Radhuni brand Vermicelli recalled due to undeclared wheat      
       
  
                        
             
Starting date:
December 11, 2017
Type of communication:
Recall
Alert sub-type:
Food Recall Warning (Allergen)…",2017-12-11,Allergen - Wheat,Retail,Oshin International Inc.,Ontario,Class 3
