,index,link,title,recall_info,date,issue,audience,company,distribution,recall_class
0,2079,https://recalls-rappels.canada.ca/en/alert-recall/arz-fine-foods-brand-ground-cumin-recalled-due-undeclared-wheat,ARZ Fine Foods brand Ground Cumin recalled due to undeclared wheat,"ARZ Fine Foods brand Ground Cumin recalled due to undeclared wheat      
       
  
                        
             
Starting date:
December 31, 2015
Type of communication:
Recall
Alert sub-type:
Food Recall Warning (Allergen…",2015-12-31,"Allergen - Gluten, Allergen - Wheat",Retail,ARZ Group Ltd.,"Ontario, Quebec",Class 3
1,2080,https://recalls-rappels.canada.ca/en/alert-recall/bingquan-brand-ladies-soy-drink-recalled-due-undeclared-milk,Bingquan brand Ladies' Soy Drink recalled due to undeclared milk,"Bingquan brand Ladies' Soy Drink recalled due to undeclared milk      
       
  
                        
             
Starting date:
December 30, 2015
Type of communication:
Recall
Alert sub-type:
Updated Food Recall…",2015-12-30,Allergen - Milk,Retail,Yu Heng Trading,Ontario,Class 1
2,2081,https://recalls-rappels.canada.ca/en/alert-recall/fibisco-hi-ro-brand-chocolate-flavored-sandwich-cookies-recalled-due-undeclared-milk,Fibisco Hi-Ro brand Chocolate Flavored Sandwich Cookies recalled due to undeclared milk,"Fibisco Hi-Ro brand Chocolate Flavored Sandwich Cookies recalled due to undeclared milk      
       
  
                        
             
Starting date:
December 30, 2015
Type of communication:
Recall
Alert sub-type:
Food…",2015-12-30,Allergen - Milk,Retail,Shiny Star Canada Ltd.,Ontario,Class 2
3,2082,https://recalls-rappels.canada.ca/en/alert-recall/milano-brand-giant-lady-finger-biscuits-recalled-due-mould,Milano brand Giant Lady Finger Biscuits recalled due to mould,"Milano brand Giant Lady Finger Biscuits recalled due to mould      
       
  
                        
             
Starting date:
December 30, 2015
Type of communication:
Recall
Alert sub-type:
Notification
Subcategory:…",2015-12-30,Microbiological - Non harmful (Quality/Spoilage),Retail,Jan K Overweel Ltd.,National,Class 3
4,2084,https://recalls-rappels.canada.ca/en/alert-recall/pr-brand-fish-products-recalled-due-undeclared-egg,PR brand fish products recalled due to undeclared egg,"PR brand fish products recalled due to undeclared egg      
       
  
                        
             
Starting date:
December 24, 2015
Type of communication:
Recall
Alert sub-type:
Food Recall Warning (Allergen)
Subcategory…",2015-12-24,Allergen - Egg,Hotel/Restaurant/Institutional,Pearl River Food Co. Ltd.,Ontario,Class 2
5,2085,https://recalls-rappels.canada.ca/en/alert-recall/chicken-veggie-pie-and-tourtiere-recalled-due-undeclared-milk-and-soy,Chicken Veggie Pie and Tourtière recalled due to undeclared milk and soy,"Chicken Veggie Pie and Tourtière recalled due to undeclared milk and soy      
       
  
                        
             
Starting date:
December 23, 2015
Type of communication:
Recall
Alert sub-type:
Food Recall Warning (…",2015-12-23,"Allergen - Milk, Allergen - Soy",Retail,Thrifty Kitchens,British Columbia,Class 1
6,2086,https://recalls-rappels.canada.ca/en/alert-recall/pie-wood-fired-pizza-joint-brand-pizza-products-recalled-due-undeclared-egg-milk-and,"Pie Wood Fired Pizza Joint brand pizza products recalled due to undeclared egg, milk and wheat","Pie Wood Fired Pizza Joint brand pizza products recalled due to undeclared egg, milk and wheat      
       
  
                        
             
Starting date:
December 23, 2015
Type of communication:
Recall
Alert sub-type:…",2015-12-23,"Allergen - Egg, Allergen - Gluten, Allergen - Milk, Allergen - Wheat",Retail,Pie Ontario Corp.,Ontario,Class 3
7,2087,https://recalls-rappels.canada.ca/en/alert-recall/senior-fish-qi-zhi-wei-food-brand-dried-honey-roasted-cod-recalled-due-undeclared,Senior Fish - Qi Zhi Wei Food brand Dried Honey Roasted Cod recalled due to undeclared gluten,"Senior Fish - Qi Zhi Wei Food brand Dried Honey Roasted Cod recalled due to undeclared gluten      
       
  
                        
             
Starting date:
December 23, 2015
Type of communication:
Recall
Alert sub-type:…",2015-12-23,Allergen - Gluten,Retail,Kam Wah Resources Co. Ltd.,Ontario,Class 2
8,2088,https://recalls-rappels.canada.ca/en/alert-recall/mary-s-organic-crackers-brand-original-crackers-recalled-due-pieces-rubber,Mary's Organic Crackers brand Original Crackers recalled due to pieces of rubber,"Mary's Organic Crackers brand Original Crackers recalled due to pieces of rubber      
       
  
                        
             
Starting date:
December 23, 2015
Type of communication:
Recall
Alert sub-type:…",2015-12-23,Extraneous Material,Retail,Costco Wholesale Canada Inc.,"Nova Scotia, Ontario, Quebec",Class 3
9,2089,https://recalls-rappels.canada.ca/en/alert-recall/ho-ho-ho-food-products-brand-seafood-products-recalled-due-undeclared-egg,Ho Ho Ho Food Products brand seafood products recalled due to undeclared egg,"Ho Ho Ho Food Products brand seafood products recalled due to undeclared egg      
       
  
                        
             
Starting date:
December 23, 2015
Type of communication:
Recall
Alert sub-type:
Food Recall Warning…",2015-12-23,Allergen - Egg,Retail,Ho Ho Ho Food products,Ontario,Class 1
