,index,link,title,recall_info,date,issue,audience,company,distribution,recall_class
0,644,https://recalls-rappels.canada.ca/en/alert-recall/wang-korea-brand-fish-sausage-products-recalled-due-undeclared-egg,Wang Korea brand fish sausage products recalled due to undeclared egg,"Wang Korea brand fish sausage products recalled due to undeclared egg      
       
  
                        
             
Starting date:
December 31, 2019
Type of communication:
Recall
Alert sub-type:
Food Recall Warning (…",2019-12-31,Allergen - Egg,Retail,Redfrog Enterprises Ltd.,"British Columbia, Ontario",Class 3
1,645,https://recalls-rappels.canada.ca/en/alert-recall/farm-boy-brand-coconut-curry-lentil-soup-and-farm-boy-brand-leek-potato-soup-recalled,Farm Boy brand Coconut Curry Lentil Soup and Farm Boy brand Leek & Potato Soup recalled due to undeclared milk and wheat,Farm Boy brand Coconut Curry Lentil Soup and Farm Boy brand Leek & Potato Soup recalled due to undeclared milk and wheat…,2019-12-31,"Allergen - Gluten, Allergen - Milk, Allergen - Wheat",Consumer,Farm Boy,Ontario,Class 2
2,646,https://recalls-rappels.canada.ca/en/alert-recall/adr-water-brand-demineralised-water-recalled-due-high-aerobic-colony-count,ADR Water brand Demineralised Water recalled due to high aerobic colony count,"ADR Water brand Demineralised Water recalled due to high aerobic colony count      
       
  
                        
             
Starting date:
December 30, 2019
Type of communication:
Recall
Alert sub-type:
Notification…",2019-12-30,Microbiological - Non harmful (Quality/Spoilage),Retail,ADR Water Ltd.,New Brunswick,Class 3
3,647,https://recalls-rappels.canada.ca/en/alert-recall/farm-boy-white-bean-smoked-chorizo-soup-recalled-due-undeclared-clam,Farm Boy White Bean & Smoked Chorizo Soup recalled due to undeclared clam,"Farm Boy White Bean & Smoked Chorizo Soup recalled due to undeclared clam      
       
  
                        
             
Starting date:
December 24, 2019
Type of communication:
Recall
Alert sub-type:
Food Recall…",2019-12-24,Allergen - Crustacean/Shellfish,Retail,Farm Boy Inc.,Ontario,Class 3
4,648,https://recalls-rappels.canada.ca/en/alert-recall/casa-madaio-brand-burrata-cheese-recalled-due-generic-e-coli-and-s-aureus,Casa Madaio brand Burrata cheese recalled due to generic E. coli and S. aureus,"Casa Madaio brand Burrata cheese recalled due to generic E. coli and S. aureus      
       
  
                        
             
Starting date:
December 20, 2019
Type of communication:
Recall
Alert sub-type:
Notification…",2019-12-20,"Microbiological - Other, Microbiological - Staphylococcus aureus",Retail,D. Tyers Foods International Inc.,"Ontario, Quebec",Class 2
5,649,https://recalls-rappels.canada.ca/en/alert-recall/certain-365-everyday-value-brand-dark-chocolate-sandwich-cremes-recalled-due,Certain 365 Everyday Value brand Dark Chocolate Sandwich Crèmes recalled due to undeclared milk,"Certain 365 Everyday Value brand Dark Chocolate Sandwich Crèmes recalled due to undeclared milk      
       
  
                        
             
Starting date:
December 20, 2019
Type of communication:
Recall
Alert sub-type:…",2019-12-20,Allergen - Milk,Consumer,Olympic Wholesale Co. Ltd.,"Ontario, Possibly National",Class 1
6,650,https://recalls-rappels.canada.ca/en/alert-recall/lander-s-australian-brand-shortbread-cookies-recalled-due-undeclared-gluten-wheat-and,"Lander's Australian brand shortbread cookies recalled due to undeclared gluten, wheat and milk","Lander's Australian brand shortbread cookies recalled due to undeclared gluten, wheat and milk      
       
  
                        
             
Starting date:
December 18, 2019
Type of communication:
Recall
Alert sub-…",2019-12-18,"Allergen - Gluten, Allergen - Milk, Allergen - Wheat",Retail,Tosuta International Sales Ltd.,National,Class 2
7,651,https://recalls-rappels.canada.ca/en/alert-recall/bouvry-exports-calgary-ltd-brand-horse-meat-recalled-due-presence-clenbuterol,Bouvry Exports Calgary Ltd. brand horse meat recalled due to presence of clenbuterol,"Bouvry Exports Calgary Ltd. brand horse meat recalled due to presence of clenbuterol      
       
  
                        
             
Starting date:
December 18, 2019
Type of communication:
Recall
Alert sub-type:…",2019-12-18,Chemical,Retail,Bouvry Export Calgary Ltd.,Quebec,Class 3
8,652,https://recalls-rappels.canada.ca/en/alert-recall/certain-coaticook-brand-cheddar-cheese-recalled-due-listeria-monocytogenes,Certain Coaticook brand Cheddar cheese recalled due to Listeria monocytogenes,"Certain Coaticook brand Cheddar cheese recalled due to Listeria monocytogenes      
       
  
                        
             
Starting date:
December 16, 2019
Type of communication:
Recall
Alert sub-type:
Food Recall…",2019-12-16,Microbiological - Listeria,Consumer,Laiterie Coaticook Ltée,Quebec,Class 1
9,653,https://recalls-rappels.canada.ca/en/alert-recall/house-foods-brand-chinese-mabo-tofu-sauce-mild-recalled-due-inadequate-seal-may-allow,House Foods brand Chinese Mabo Tofu Sauce Mild recalled due to inadequate seal that may allow the entry of spoilage microorganisms,"House Foods brand Chinese Mabo Tofu Sauce Mild recalled due to inadequate seal that may allow the entry of spoilage microorganisms      
       
  
                        
             
Starting date:
December 16, 2019
Type of…",2019-12-16,Microbiological - Other,Retail,"Wismettac Asian Foods, Inc., JFC International (Canada) Inc.","Alberta, British Columbia, Manitoba, Nova Scotia, Ontario, Quebec",Class 2
10,654,https://recalls-rappels.canada.ca/en/alert-recall/mealie-pudding-recalled-due-undeclared-gluten,Mealie Pudding recalled due to undeclared gluten,"Mealie Pudding recalled due to undeclared gluten      
       
  
                        
             
Starting date:
December 16, 2019
Type of communication:
Recall
Alert sub-type:
Food Recall Warning (Allergen)
Subcategory:…",2019-12-16,Allergen - Gluten,Retail,Speers Meats & Delicatessen,Ontario,Class 3
11,655,https://recalls-rappels.canada.ca/en/alert-recall/backwoods-brand-cured-sausage-seasonings-summer-sausage-kit-recalled-due-undeclared-1,Backwoods brand Cured Sausage Seasonings – Summer Sausage Kit recalled due to undeclared mustard,"Backwoods brand Cured Sausage Seasonings – Summer Sausage Kit recalled due to undeclared mustard      
       
  
                        
             
Starting date:
December 13, 2019
Type of communication:
Recall
Alert sub-type…",2019-12-13,Allergen - Mustard,Retail,Peavey Industries LP,"Alberta, British Columbia, Manitoba, Saskatchewan",Class 2
